dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,LSPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,LSPV,LSPV,PPV_MIX,LSPV_MIX,LSPV,LSPV_MIX,LSPV,PPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX
Adiac,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_DIFF,MPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,MPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX
ArrowHead,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
Beef,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,MIPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV
BeetleFly,GMP_DIFF,PPV,PPV,GMP_DIFF,MIPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,GMP_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV,GMP_DIFF
BirdChicken,PPV_DIFF,PPV_DIFF,PPV_MIX,GMP_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,GMP_DIFF,PPV_MIX
BME,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV_MIX,PPV_MIX,MPV,PPV,PPV,PPV
Car,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV,PPV_MIX,MPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,MPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,MIPV,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX
CBF,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,LSPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,GMP,PPV
Chinatown,PPV_MIX,PPV_MIX,MIPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,MPV,PPV,PPV_MIX,PPV_MIX,MIPV,PPV,PPV_MIX,PPV_MIX,PPV,MIPV,PPV_MIX,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV
ChlorineConcentration,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,GMP_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,GMP_DIFF,PPV_MIX,PPV_MIX
CinCECGTorso,MIPV_DIFF,MIPV_MIX,MIPV_DIFF,MIPV_DIFF,MIPV_MIX,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_MIX,MIPV_DIFF,MIPV_DIFF,MIPV_MIX,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,PPV_MIX,MIPV_DIFF,MIPV,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF,MIPV_DIFF
Coffee,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV_MIX,PPV,GMP,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV
